"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;MATCHING_CRITERIA
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Andersl%C3%B6v%2CSjukhemsv%C3%A4gen+11;Vårdcentralen Anderslöv;Vårdcentralen Anderslöv;Sjukhemsvägen 11;23170;Anderslöv;0410-35 97 70;http://www.skane.se/webbplatser/primarvarden_skane/vardcentraler/vara-vardcentraler/orter-a-l/vardcentralen-anderslov;Vårdcentralen Anderslöv,Sjukhemsvägen 11
http://www.hitta.se//anderstorps+v%C3%A5rdcentral/anderstorp/yxSM24vOOU?vad=Anderstorps+v%C3%A5rdcentral%2CStorgatan+25;Anderstorps vårdcentral;Anderstorps vårdcentral;Storgatan 25;33433;Anderstorp;0371-58 43 15;http://www.lj.se/anderstorpsvardcentral;Anderstorps vårdcentral,Storgatan 25
http://www.hitta.se//distriktssk%C3%B6terska+anderstorps+v%C3%A5rdcentral/anderstorp/hgM_mmqbko?vad=Anderstorps+v%C3%A5rdcentral%2CStorgatan+25;Anderstorps vårdcentral;Distriktssköterska Anderstorps Vårdcentral;Storgatan 25;33433;Anderstorp;0371-58 43 16,0371-58 43 26;;Anderstorps vårdcentral,Storgatan 25
http://www.hitta.se//familjel%C3%A4karna+fagersta+v%C3%A5rdcentral/-/dSM22XmUU1?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna Fagersta Vårdcentral;;;;0223-492 00;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+city+ab/stockholm/dST2XX11Gq?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i City AB;Kungsgatan 48;11135;Stockholm;070-519 90 89,08-31 19 33;http://www.citydoktorn.se;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+l%C3%A5ngedrag+ab/g%C3%B6teborg/izls_XXvnO?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Långedrag AB;Kungsgatan 34;41119;Göteborg;;;Familjeläkarna
http://www.hitta.se//barnav%C3%A5rdscentral+familjel%C3%A4karna+v%C3%A5rdcentral/link%C3%B6ping/0S22_wnOU1?vad=Familjel%C3%A4karna;Familjeläkarna;Barnavårdscentral Familjeläkarna Vårdcentral;Nygatan 35;58219;Linköping;013-24 21 34;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+v%C3%A5rdcentral/link%C3%B6ping/ihSTZss_Cw?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna Vårdcentral;Ågatan 29;58222;Linköping;013-24 21 00,013-24 21 01,013-24 21 02,013-24 21 03;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+olofstr%C3%B6m+ab/helsingborg/0L~~xSlP2Z?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Olofström AB;Florettgatan 12;25467;Helsingborg;042-620 00 01;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+husby/kista/iLgWWCOO1H?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Husby;Edvard Griegsgången 13;16432;Kista;08-751 25 00;http://www.famlak.se;Familjeläkarna
http://www.hitta.se//capio+familjel%C3%A4karna+skrea/falkenberg/zgPs4HK7uc?vad=Familjel%C3%A4karna;Familjeläkarna;Capio Familjeläkarna Skrea;Klittervägen 51;31142;Falkenberg;0346-71 50 50;http://www.capiovardcentral.se/Halland/Familjelakarna-Falkenberg-Soderbro-Skrea-Glommen/vardcentral/;Familjeläkarna
http://www.hitta.se//capio+familjel%C3%A4karna+s%C3%B6derbro/falkenberg/0TRl2X1koJ?vad=Familjel%C3%A4karna;Familjeläkarna;Capio Familjeläkarna Söderbro;Nygatan 64;31174;Falkenberg;0346-71 50 50;http://www.capiovardcentral.se/Halland/Familjelakarna-Falkenberg-Soderbro-Skrea-Glommen/vardcentral/;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+saltsj%C3%B6baden/saltsj%C3%B6baden/y~Rww---4v?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Saltsjöbaden;Byvägen 52;13334;Saltsjöbaden;08-717 01 00;http://www.famlak.se;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+b%C3%A5lsta/b%C3%A5lsta/~R2__w4vnO?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna Bålsta;Centrumleden 2;74632;Bålsta;0171-62 00 00;http://www.famlak.se/balsta;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+arboga+ab/arboga/hSl2wwvmOU?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Arboga AB;Österled 30;73245;Arboga;0589-865 20;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+laholm/laholm/VxMWjZw5-X?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Laholm;Storgatan 21 C;31230;Laholm;0430-134 49,0430-168 16;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+vid+torget/laholm/hLMl5-vUU1?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna vid Torget;Köpmansgatan 3;31230;Laholm;0430-493 30,0430-493 31;http://www.familjelakarnavidtorget.se;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+%C3%B6sterlen+ab/simrishamn/Lzdljw4vnO?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna Österlen AB;Bruksgatan 7 F;27236;Simrishamn;073-501 20 29;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+olofstr%C3%B6m/olofstr%C3%B6m/hgjZXXmmmn?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Olofström;Ådalsvägen 8;29334;Olofström;0454-919 99,0454-995 00,0454-999 01;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+i+forserum/forserum/yyddPwOUHG?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna i Forserum;Lillsjövägen 12;57177;Forserum;0380-55 34 45;;Familjeläkarna
http://www.hitta.se//familjel%C3%A4karna+mitt+ab/fr%C3%A4nsta/dg2_4U1Hqb?vad=Familjel%C3%A4karna;Familjeläkarna;Familjeläkarna Mitt AB;Mårtensvägen 9;84012;Fränsta;073-299 00 67;;Familjeläkarna
http://www.hitta.se//capio+familjel%C3%A4karna+glommen/glommen/xW2CmqeuEa?vad=Familjel%C3%A4karna;Familjeläkarna;Capio Familjeläkarna Glommen;Breviksvägen 25;31198;Glommen;0346-71 50 90;http://www.familjelakarna.se;Familjeläkarna
http://www.hitta.se/s%C3%B6k?vad=Aneby+v%C3%A5rdcentral%2CStorgatan+29;Aneby vårdcentral;Aneby vårdcentral;Storgatan 29;57831;Aneby;0380-55 27 00;http://www.anebyvardcentral.se;Aneby vårdcentral,Storgatan 29
http://www.hitta.se/s%C3%B6k?vad=Angereds+L%C3%A4karhus%2CKultivatorgatan+3;Angereds Läkarhus;Angereds Läkarhus;Kultivatorgatan 3;42465;Angered;031-722 11 80;http://www.angeredslakarhus.se;Angereds Läkarhus,Kultivatorgatan 3
http://www.hitta.se/s%C3%B6k?vad=L%C3%B6vg%C3%A4rdets+v%C3%A5rdcentral%2CVaniljgatan+28;Lövgärdets vårdcentral;Närhälsan Lövgärdet vårdcentral;Vaniljgatan 28;42445;Angered;031-747 85 50;http://www.narhalsan.se/lovgardetvardcentral;Lövgärdets vårdcentral,Vaniljgatan 28
http://www.hitta.se//angered+care+v%C3%A5rdcentral+och+bvc/angered/VL~gjw4vnO?vad=Angereds+Torg+12%2C+42465+Angered;Medical Center Vårdcentral;Angered Care Vårdcentral och BVC;Angereds Torg 12;42465;Angered;031-48 55 57,031-46 65 65;;Angereds Torg 12, 42465 Angered
http://www.hitta.se//angereds+palace/angered/zWWW2--Xvm?vad=Angereds+Torg+12%2C+42465+Angered;Medical Center Vårdcentral;Angereds Palace;Angereds Torg 12;42465;Angered;031-330 73 07;;Angereds Torg 12, 42465 Angered
http://www.hitta.se//aphram+marios/angered/zMMMPC5OU1?vad=Angereds+Torg+12%2C+42465+Angered;Medical Center Vårdcentral;Aphram Marios;Angereds Torg 12;42465;Angered;031-330 82 30;;Angereds Torg 12, 42465 Angered
http://www.hitta.se//nordea+bank+ab/angered/zR_5n1ooJA?vad=Angereds+Torg+12%2C+42465+Angered;Medical Center Vårdcentral;Nordea Bank AB;Angereds Torg 12;42465;Angered;0771-224 488,0771-335 599,08-402 57 10;http://www.nordea.se;Angereds Torg 12, 42465 Angered
http://www.hitta.se//angereds+l%C3%A4karhus/angered/xxTjCXnnU1?vad=V%C3%A5rdcentralen+Angered;Vårdcentralen Angered;Angereds Läkarhus;Kultivatorgatan 3;42465;Angered;031-722 11 80;http://www.angeredslakarhus.se;Vårdcentralen Angered
http://www.hitta.se//angered+care+v%C3%A5rdcentral+och+bvc/angered/VL~gjw4vnO?vad=V%C3%A5rdcentralen+Angered;Vårdcentralen Angered;Angered Care Vårdcentral och BVC;Angereds Torg 12;42465;Angered;031-48 55 57,031-46 65 65;;Vårdcentralen Angered
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+angered+v%C3%A5rdcentral/angered/~dggW2_55-?vad=V%C3%A5rdcentralen+Angered;Vårdcentralen Angered;Närhälsan Angered vårdcentral;Halmtorget 1;42465;Angered;031-747 96 00;http://www.narhalsan.se/angeredvardcentral;Vårdcentralen Angered
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+hj%C3%A4llbo+v%C3%A5rdcentral/angered/0hT2Z54nnO?vad=V%C3%A5rdcentralen+Angered;Vårdcentralen Angered;Närhälsan Hjällbo vårdcentral;Bergsgårdsgärdet 89 B;42432;Angered;031-747 83 00;http://www.narhalsan.se/hjallbovardcentral;Vårdcentralen Angered
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+l%C3%B6vg%C3%A4rdet+v%C3%A5rdcentral/angered/0dddSRjss_?vad=V%C3%A5rdcentralen+Angered;Vårdcentralen Angered;Närhälsan Lövgärdet vårdcentral;Vaniljgatan 28;42445;Angered;031-747 85 50;http://www.narhalsan.se/lovgardetvardcentral;Vårdcentralen Angered
http://www.hitta.se//angereds+n%C3%A4rsjukhus+barn-+och+ungdomsmedicin/g%C3%B6teborg/xTRl_5OO1H?vad=V%C3%A5rdcentralen+Angered;Vårdcentralen Angered;Angereds Närsjukhus Barn- och ungdomsmedicin;Gamlestadsvägen 2-4;41502;Göteborg;031-345 08 80;http://www.angeredsnarsjukhus.se;Vårdcentralen Angered
http://www.hitta.se//apoteksgruppen+angered+bergsg%C3%A5rdsg%C3%A4rdet/angered/ihLdSR_mmn?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Apoteksgruppen Angered, Bergsgårdsgärdet;Bergsgårdsgärdet 89 B;42432;Angered;0771-760 760;http://www.apoteksgruppen.se;Bergsgårdsgärdet 89 B, 42432 Angered
http://www.hitta.se//daghemmet+stj%C3%A4rnor/angered/0SlPjXOHHG?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Daghemmet Stjärnor;Bergsgårdsgärdet 89 B;42432;Angered;031-46 10 49;;Bergsgårdsgärdet 89 B, 42432 Angered
http://www.hitta.se//f%C3%B6retagaref%C3%B6reningen+hj%C3%A4llbo+centrum+ek.+f%C3%B6r./angered/0Lzl2Z_w-X?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Företagareföreningen Hjällbo Centrum Ek. För.;Bergsgårdsgärdet 89 B;42432;Angered;;;Bergsgårdsgärdet 89 B, 42432 Angered
http://www.hitta.se//l%C3%A4rjedalen+socialtj%C3%A4nst/angered/ddl_vvbuuc?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Lärjedalen Socialtjänst;Bergsgårdsgärdet 89 B;42432;Angered;031-365 20 00;http://www.larjedalen.goteborg.se;Bergsgårdsgärdet 89 B, 42432 Angered
http://www.hitta.se//n%C3%A4rh%C3%A4lsan+hj%C3%A4llbo+v%C3%A5rdcentral/angered/0hT2Z54nnO?vad=Bergsg%C3%A5rdsg%C3%A4rdet+89+B%2C+42432+Angered;Vårdcentralen Lärjedalen;Närhälsan Hjällbo vårdcentral;Bergsgårdsgärdet 89 B;42432;Angered;031-747 83 00;http://www.narhalsan.se/hjallbovardcentral;Bergsgårdsgärdet 89 B, 42432 Angered
http://www.hitta.se/s%C3%B6k?vad=Ankarsrums+H%C3%A4lsocentral%2CKungsv%C3%A4gen+40;Ankarsrums Hälsocentral;Ankarsrums hälsocentral;Kungsvägen 40;59370;Ankarsrum;0490-504 00,1177;http://www.ltkalmar.se;Ankarsrums Hälsocentral,Kungsvägen 40
http://www.hitta.se//familjel%C3%A4karna+i+arboga+ab/arboga/hSl2wwvmOU?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Familjeläkarna i Arboga AB;Österled 30;73245;Arboga;0589-865 20;;Österled 30, 73245 Arboga
http://www.hitta.se//folktandv%C3%A5rden+arboga/arboga/dRR_5ObkoJ?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Folktandvården Arboga;Österled 30;73245;Arboga;021-17 68 80,0589-169 69;http://www.ltv.se/ftv_arboga;Österled 30, 73245 Arboga
http://www.hitta.se//ungdomsmottagning+arboga/arboga/zdTllwXmmn?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Ungdomsmottagning Arboga;Österled 30;73245;Arboga;0589-872 05;http://www.arboga.se;Österled 30, 73245 Arboga
http://www.hitta.se//barnav%C3%A5rdscentral+grindbergafamiljel%C3%A4karenhet+v%C3%A5rdcentral/arboga/i~dWCwnOU1?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Barnavårdscentral GrindbergaFamiljeläkarenhet Vårdcentral;Österled 30;73245;Arboga;0589-865 51;;Österled 30, 73245 Arboga
http://www.hitta.se//m%C3%B6drav%C3%A5rdscentral+grindbergafamiljel%C3%A4karenhet+v%C3%A5rdcentral/arboga/LLSl5-U1HG?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Mödravårdscentral GrindbergaFamiljeläkarenhet Vårdcentral;Österled 30;73245;Arboga;0589-865 27;;Österled 30, 73245 Arboga
http://www.hitta.se//sjukgymnastikcentralen+anders+%C3%A5kerstr%C3%B6m+ab/arboga/iyhgWRP2Zs?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Sjukgymnastikcentralen Anders Åkerström AB;Österled 30;73245;Arboga;0589-179 00;;Österled 30, 73245 Arboga
http://www.hitta.se//%C3%A5b%C3%A5gens+v%C3%A5rdcentral+ab/arboga/idxTjCC5X4?vad=%C3%96sterled+30%2C+73245+Arboga;Grindberga Familjeläkarenhet AB;Åbågens Vårdcentral AB;Österled 30;73245;Arboga;;;Österled 30, 73245 Arboga
http://www.hitta.se//familjel%C3%A4karna+i+arboga+ab/arboga/hSl2wwvmOU?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Familjeläkarna i Arboga AB;Österled 30;73245;Arboga;0589-865 20;;Österled 30, 73245 Arboga
http://www.hitta.se//folktandv%C3%A5rden+arboga/arboga/dRR_5ObkoJ?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Folktandvården Arboga;Österled 30;73245;Arboga;021-17 68 80,0589-169 69;http://www.ltv.se/ftv_arboga;Österled 30, 73245 Arboga
http://www.hitta.se//ungdomsmottagning+arboga/arboga/zdTllwXmmn?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Ungdomsmottagning Arboga;Österled 30;73245;Arboga;0589-872 05;http://www.arboga.se;Österled 30, 73245 Arboga
http://www.hitta.se//barnav%C3%A5rdscentral+grindbergafamiljel%C3%A4karenhet+v%C3%A5rdcentral/arboga/i~dWCwnOU1?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Barnavårdscentral GrindbergaFamiljeläkarenhet Vårdcentral;Österled 30;73245;Arboga;0589-865 51;;Österled 30, 73245 Arboga
http://www.hitta.se//m%C3%B6drav%C3%A5rdscentral+grindbergafamiljel%C3%A4karenhet+v%C3%A5rdcentral/arboga/LLSl5-U1HG?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Mödravårdscentral GrindbergaFamiljeläkarenhet Vårdcentral;Österled 30;73245;Arboga;0589-865 27;;Österled 30, 73245 Arboga
http://www.hitta.se//sjukgymnastikcentralen+anders+%C3%A5kerstr%C3%B6m+ab/arboga/iyhgWRP2Zs?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Sjukgymnastikcentralen Anders Åkerström AB;Österled 30;73245;Arboga;0589-179 00;;Österled 30, 73245 Arboga
http://www.hitta.se//%C3%A5b%C3%A5gens+v%C3%A5rdcentral+ab/arboga/idxTjCC5X4?vad=%C3%96sterled+30%2C+73245+Arboga;Åbågens Nya Vårdcentral;Åbågens Vårdcentral AB;Österled 30;73245;Arboga;;;Österled 30, 73245 Arboga
http://www.hitta.se/s%C3%B6k?vad=H%C3%A4lsocentralen+Arbr%C3%A5%2CStationsesplanaden+10;Hälsocentralen Arbrå;Arbrå din hälsocentral;Stationsesplanaden 10;82010;Arbrå;0278-388 00,026-15 40 00;http://www.lg.se/dinhalsocentral;Hälsocentralen Arbrå,Stationsesplanaden 10
http://www.hitta.se/s%C3%B6k?vad=Arjeplogs+v%C3%A5rdcentral%2CDoktor+Wallquists+v%C3%A4g+3;Arjeplogs vårdcentral;Arjeplogs Hälsocentral Slagnäs Laisvall;Doktor Wallquists Väg 3;93831;Arjeplog;0961-148 00,0961-148 00;http://www.nll.se/sv/Halsa-och-sjukvard/Vardcentraler1/Arjeplogs-halsocentral;Arjeplogs vårdcentral,Doktor Wallquists väg 3
http://www.hitta.se//din+plastikkirurg/ume%C3%A5/VSgZ4nkooJ?vad=Din+Doktor+AB;Din Doktor AB;Din Plastikkirurg;Silvervägen 62 B;90750;Umeå;090-19 16 00;http://www.dinplastikkirurg.se;Din Doktor AB
http://www.hitta.se//andersberg+din+h%C3%A4lsocentral/g%C3%A4vle/0zMjsXmUU1?vad=Din+Doktor+AB;Din Doktor AB;Andersberg Din hälsocentral;Vinddraget 18;80277;Gävle;026-15 77 00,026-15 40 00;;Din Doktor AB
http://www.hitta.se//g%C3%A4vle+strand+din+h%C3%A4lsocentral/g%C3%A4vle/LLdxWPPjZs?vad=Din+Doktor+AB;Din Doktor AB;Gävle Strand Din hälsocentral;Alderholmsgatan 7;80302;Gävle;026-63 70 00,026-15 40 00;;Din Doktor AB
http://www.hitta.se//str%C3%B6msbro+din+h%C3%A4lsocentral/g%C3%A4vle/xWZ541qooJ?vad=Din+Doktor+AB;Din Doktor AB;Strömsbro Din hälsocentral;Gamla Bönavägen 19;80646;Gävle;026-15 77 50,026-15 40 00;http://www.lg.se/dinhalsocentral;Din Doktor AB
http://www.hitta.se//s%C3%A4tra+din+h%C3%A4lsocentral/g%C3%A4vle/i~gPZ-vOOU?vad=Din+Doktor+AB;Din Doktor AB;Sätra Din hälsocentral;Norrbågen 32;80631;Gävle;026-15 77 77,026-15 40 00;http://www.lg.se/dinhalsocentral;Din Doktor AB
http://www.hitta.se//s%C3%B6dertull+din+h%C3%A4lsocentral/g%C3%A4vle/yzMjsXmUU1?vad=Din+Doktor+AB;Din Doktor AB;Södertull Din hälsocentral;Kaserngatan 48;80253;Gävle;026-15 55 31,026-15 40 00;http://www.lg.se/dinhalsocentral;Din Doktor AB
http://www.hitta.se//sandviken+norra+din+h%C3%A4lsocentral/sandviken/VVhTRw-mmn?vad=Din+Doktor+AB;Din Doktor AB;Sandviken Norra Din hälsocentral;Lasarettsleden 4;81160;Sandviken;026-27 81 00,026-15 40 00;http://www.lg.se/dinhalsocentral;Din Doktor AB
http://www.hitta.se//sandviken+s%C3%B6dra+din+h%C3%A4lsocentral/sandviken/ihxWPC-vvm?vad=Din+Doktor+AB;Din Doktor AB;Sandviken Södra Din hälsocentral;Lasarettsleden 4;81160;Sandviken;026-27 80 90,026-27 85 70,026-15 40 00;;Din Doktor AB
http://www.hitta.se//hudiksvall+din+h%C3%A4lsocentral/hudiksvall/dP5UkE6FfD?vad=Din+Doktor+AB;Din Doktor AB;Hudiksvall Din hälsocentral;Kålhagsgatan 20;82452;Hudiksvall;0650-920 08;;Din Doktor AB
http://www.hitta.se//baldersn%C3%A4s+din+h%C3%A4lsocentral/bolln%C3%A4s/hxTMj5U1Gq?vad=Din+Doktor+AB;Din Doktor AB;Baldersnäs Din Hälsocentral;Långgatan 28;82143;Bollnäs;0278-381 00,026-15 40 00;;Din Doktor AB
